Time,True,Pred_Mu,Pred_Alpha,Error,Week,Hour
2025-05-25 18:40:00,22,23,23.530224,-1,6.0,18.0
2025-05-25 19:00:00,23,17,17.494461,6,6.0,19.0
2025-05-25 19:20:00,29,23,23.865093,6,6.0,19.0
2025-05-25 19:40:00,17,20,20.831432,-3,6.0,19.0
2025-05-25 20:00:00,8,12,12.556684,-4,6.0,20.0
2025-05-25 20:20:00,14,9,9.80146,5,6.0,20.0
2025-05-25 20:40:00,18,14,14.644163,4,6.0,20.0
2025-05-25 21:00:00,19,21,21.048836,-2,6.0,21.0
2025-05-25 21:20:00,18,22,21.935444,-4,6.0,21.0
2025-05-25 21:40:00,13,21,21.344013,-8,6.0,21.0
2025-05-25 22:00:00,59,50,51.0794,9,6.0,22.0
2025-05-25 22:20:00,66,74,74.702446,-8,6.0,22.0
2025-05-25 22:40:00,71,61,61.524185,10,6.0,22.0
2025-05-25 23:00:00,81,69,69.625465,12,6.0,23.0
2025-05-25 23:20:00,75,76,76.77791,-1,6.0,23.0
2025-05-25 23:40:00,60,71,71.16917,-11,6.0,23.0
2025-05-26 00:00:00,36,47,47.25978,-11,0.0,0.0
2025-05-26 00:20:00,38,43,42.95096,-5,0.0,0.0
2025-05-26 00:40:00,55,43,43.791054,12,0.0,0.0
2025-05-26 01:00:00,51,53,53.686775,-2,0.0,1.0
2025-05-26 01:20:00,29,36,36.623615,-7,0.0,1.0
2025-05-26 01:40:00,34,34,33.885014,0,0.0,1.0
2025-05-26 02:00:00,37,31,31.040451,6,0.0,2.0
2025-05-26 02:20:00,34,37,37.28022,-3,0.0,2.0
2025-05-26 02:40:00,31,26,26.035572,5,0.0,2.0
2025-05-26 03:00:00,26,27,27.566113,-1,0.0,3.0
2025-05-26 03:20:00,28,21,21.643627,7,0.0,3.0
2025-05-26 03:40:00,18,21,21.408377,-3,0.0,3.0
2025-05-26 04:00:00,25,11,11.593196,14,0.0,4.0
2025-05-26 04:20:00,28,25,25.577778,3,0.0,4.0
2025-05-26 04:40:00,27,25,25.182123,2,0.0,4.0
2025-05-26 05:00:00,22,22,22.009466,0,0.0,5.0
2025-05-26 05:20:00,21,23,22.92067,-2,0.0,5.0
2025-05-26 05:40:00,25,23,23.018929,2,0.0,5.0
2025-05-26 06:00:00,25,22,21.832865,3,0.0,6.0
2025-05-26 06:20:00,11,15,15.459846,-4,0.0,6.0
2025-05-26 06:40:00,5,6,6.607686,-1,0.0,6.0
2025-05-26 07:00:00,5,3,3.6243505,2,0.0,7.0
2025-05-26 07:20:00,10,8,8.933171,2,0.0,7.0
2025-05-26 07:40:00,9,13,13.380975,-4,0.0,7.0
2025-05-26 08:00:00,5,10,10.726906,-5,0.0,8.0
2025-05-26 08:20:00,12,5,5.651233,7,0.0,8.0
2025-05-26 08:40:00,13,16,16.582224,-3,0.0,8.0
2025-05-26 09:00:00,5,13,13.619815,-8,0.0,9.0
2025-05-26 09:20:00,9,7,7.142992,2,0.0,9.0
2025-05-26 09:40:00,13,14,14.064941,-1,0.0,9.0
2025-05-26 10:00:00,13,12,12.623394,1,0.0,10.0
2025-05-26 10:20:00,11,15,15.104028,-4,0.0,10.0
2025-05-26 10:40:00,26,20,19.962019,6,0.0,10.0
2025-05-26 11:00:00,44,38,38.45792,6,0.0,11.0
2025-05-26 11:20:00,58,48,48.5814,10,0.0,11.0
2025-05-26 11:40:00,56,57,57.4312,-1,0.0,11.0
2025-05-26 12:00:00,53,56,56.109215,-3,0.0,12.0
2025-05-26 12:20:00,43,49,49.794907,-6,0.0,12.0
2025-05-26 12:40:00,45,45,45.773697,0,0.0,12.0
2025-05-26 13:00:00,37,37,37.563633,0,0.0,13.0
2025-05-26 13:20:00,43,33,33.508057,10,0.0,13.0
2025-05-26 13:40:00,43,41,41.79446,2,0.0,13.0
2025-05-26 14:00:00,41,43,43.785133,-2,0.0,14.0
2025-05-26 14:20:00,42,42,42.80391,0,0.0,14.0
2025-05-26 14:40:00,63,40,40.808273,23,0.0,14.0
2025-05-26 15:00:00,51,51,51.438755,0,0.0,15.0
2025-05-26 15:20:00,43,34,34.67395,9,0.0,15.0
2025-05-26 15:40:00,40,40,40.44462,0,0.0,15.0
2025-05-26 16:00:00,36,41,41.49723,-5,0.0,16.0
2025-05-26 16:20:00,34,36,36.20565,-2,0.0,16.0
2025-05-26 16:40:00,29,35,35.783447,-6,0.0,16.0
2025-05-26 17:00:00,24,27,27.907253,-3,0.0,17.0
2025-05-26 17:20:00,29,23,23.306305,6,0.0,17.0
2025-05-26 17:40:00,29,27,27.812687,2,0.0,17.0
2025-05-26 18:00:00,16,24,24.764751,-8,0.0,18.0
2025-05-26 18:20:00,15,14,14.115799,1,0.0,18.0
2025-05-26 18:40:00,14,19,19.188911,-5,0.0,18.0
2025-05-26 19:00:00,11,15,15.645993,-4,0.0,19.0
2025-05-26 19:20:00,19,8,8.392839,11,0.0,19.0
2025-05-26 19:40:00,19,22,22.426971,-3,0.0,19.0
2025-05-26 20:00:00,11,14,14.706618,-3,0.0,20.0
2025-05-26 20:20:00,8,10,10.827822,-2,0.0,20.0
2025-05-26 20:40:00,4,9,9.191483,-5,0.0,20.0
2025-05-26 21:00:00,31,14,14.255777,17,0.0,21.0
2025-05-26 21:20:00,34,32,32.586555,2,0.0,21.0
2025-05-26 21:40:00,32,36,36.484596,-4,0.0,21.0
2025-05-26 22:00:00,65,65,65.81135,0,0.0,22.0
2025-05-26 22:20:00,65,80,80.42098,-15,0.0,22.0
2025-05-26 22:40:00,64,64,64.84197,0,0.0,22.0
2025-05-26 23:00:00,67,64,64.12224,3,0.0,23.0
2025-05-26 23:20:00,58,68,68.952805,-10,0.0,23.0
2025-05-26 23:40:00,43,45,45.5848,-2,0.0,23.0
2025-05-27 00:00:00,44,51,51.376286,-7,1.0,0.0
2025-05-27 00:20:00,41,51,51.13604,-10,1.0,0.0
2025-05-27 00:40:00,26,32,32.627335,-6,1.0,0.0
2025-05-27 01:00:00,21,16,16.390045,5,1.0,1.0
2025-05-27 01:20:00,19,24,24.618591,-5,1.0,1.0
2025-05-27 01:40:00,12,20,19.955906,-8,1.0,1.0
2025-05-27 02:00:00,15,9,9.892659,6,1.0,2.0
2025-05-27 02:20:00,13,16,16.014128,-3,1.0,2.0
2025-05-27 02:40:00,13,14,14.117811,-1,1.0,2.0
2025-05-27 03:00:00,16,12,11.885277,4,1.0,3.0
2025-05-27 03:20:00,15,15,15.28249,0,1.0,3.0
2025-05-27 03:40:00,15,16,16.39141,-1,1.0,3.0
2025-05-27 04:00:00,14,13,13.556276,1,1.0,4.0
2025-05-27 04:20:00,8,9,9.627071,-1,1.0,4.0
2025-05-27 04:40:00,9,7,7.9907293,2,1.0,4.0
2025-05-27 05:00:00,8,13,13.498428,-5,1.0,5.0
2025-05-27 05:20:00,21,10,10.306646,11,1.0,5.0
2025-05-27 05:40:00,31,25,25.858395,6,1.0,5.0
2025-05-27 06:00:00,25,26,26.61084,-1,1.0,6.0
2025-05-27 06:20:00,22,17,17.659176,5,1.0,6.0
2025-05-27 06:40:00,12,12,12.086406,0,1.0,6.0
2025-05-27 07:00:00,11,13,13.836012,-2,1.0,7.0
2025-05-27 07:20:00,14,11,11.599953,3,1.0,7.0
2025-05-27 07:40:00,9,12,12.645018,-3,1.0,7.0
2025-05-27 08:00:00,8,7,7.78595,1,1.0,8.0
2025-05-27 08:20:00,6,8,8.063683,-2,1.0,8.0
2025-05-27 08:40:00,5,6,6.6067114,-1,1.0,8.0
2025-05-27 09:00:00,5,7,7.1598134,-2,1.0,9.0
2025-05-27 09:20:00,5,8,8.552332,-3,1.0,9.0
2025-05-27 09:40:00,2,7,7.434338,-5,1.0,9.0
2025-05-27 10:00:00,1,5,5.647248,-4,1.0,10.0
2025-05-27 10:20:00,8,6,6.181895,2,1.0,10.0
2025-05-27 10:40:00,16,16,16.687675,0,1.0,10.0
2025-05-27 11:00:00,52,37,37.804058,15,1.0,11.0
2025-05-27 11:20:00,55,56,56.46619,-1,1.0,11.0
2025-05-27 11:40:00,45,50,50.464676,-5,1.0,11.0
2025-05-27 12:00:00,43,45,45.538605,-2,1.0,12.0
2025-05-27 12:20:00,42,52,52.703117,-10,1.0,12.0
2025-05-27 12:40:00,39,50,50.152428,-11,1.0,12.0
2025-05-27 13:00:00,41,30,29.916458,11,1.0,13.0
2025-05-27 13:20:00,38,42,42.43978,-4,1.0,13.0
2025-05-27 13:40:00,25,34,34.192062,-9,1.0,13.0
2025-05-27 14:00:00,25,28,28.79285,-3,1.0,14.0
2025-05-27 14:20:00,23,29,29.32955,-6,1.0,14.0
2025-05-27 14:40:00,31,26,26.82175,5,1.0,14.0
2025-05-27 15:00:00,44,36,36.73076,8,1.0,15.0
2025-05-27 15:20:00,43,43,43.40704,0,1.0,15.0
2025-05-27 15:40:00,35,42,42.86057,-7,1.0,15.0
2025-05-27 16:00:00,39,39,39.314545,0,1.0,16.0
2025-05-27 16:20:00,34,41,40.991287,-7,1.0,16.0
2025-05-27 16:40:00,35,37,37.09062,-2,1.0,16.0
2025-05-27 17:00:00,43,35,35.288303,8,1.0,17.0
2025-05-27 17:20:00,39,44,44.03834,-5,1.0,17.0
2025-05-27 17:40:00,26,30,30.020771,-4,1.0,17.0
2025-05-27 18:00:00,26,20,20.06062,6,1.0,18.0
2025-05-27 18:20:00,28,26,26.872934,2,1.0,18.0
2025-05-27 18:40:00,21,18,18.758171,3,1.0,18.0
2025-05-27 19:00:00,18,20,20.232727,-2,1.0,19.0
2025-05-27 19:20:00,16,16,16.305046,0,1.0,19.0
2025-05-27 19:40:00,8,13,13.118514,-5,1.0,19.0
2025-05-27 20:00:00,26,7,7.242092,19,1.0,20.0
2025-05-27 20:20:00,30,24,23.966202,6,1.0,20.0
2025-05-27 20:40:00,22,23,23.302849,-1,1.0,20.0
2025-05-27 21:00:00,16,28,28.422092,-12,1.0,21.0
2025-05-27 21:20:00,15,21,21.777363,-6,1.0,21.0
2025-05-27 21:40:00,23,21,21.137249,2,1.0,21.0
2025-05-27 22:00:00,49,59,59.65423,-10,1.0,22.0
2025-05-27 22:20:00,63,65,65.08403,-2,1.0,22.0
2025-05-27 22:40:00,49,63,62.95955,-14,1.0,22.0
2025-05-27 23:00:00,29,33,32.763233,-4,1.0,23.0
2025-05-27 23:20:00,43,40,39.986023,3,1.0,23.0
2025-05-27 23:40:00,59,43,43.675625,16,1.0,23.0
2025-05-28 00:00:00,48,65,64.75658,-17,2.0,0.0
2025-05-28 00:20:00,59,55,54.875515,4,2.0,0.0
2025-05-28 00:40:00,71,58,58.014793,13,2.0,0.0
2025-05-28 01:00:00,48,54,54.48276,-6,2.0,1.0
2025-05-28 01:20:00,33,39,39.099365,-6,2.0,1.0
2025-05-28 01:40:00,21,21,21.711502,0,2.0,1.0
2025-05-28 02:00:00,19,27,27.178295,-8,2.0,2.0
2025-05-28 02:20:00,23,16,16.190561,7,2.0,2.0
2025-05-28 02:40:00,23,21,21.525524,2,2.0,2.0
2025-05-28 03:00:00,12,14,14.451693,-2,2.0,3.0
2025-05-28 03:20:00,14,7,7.5218377,7,2.0,3.0
2025-05-28 03:40:00,17,17,17.315857,0,2.0,3.0
2025-05-28 04:00:00,16,11,11.373143,5,2.0,4.0
2025-05-28 04:20:00,16,15,14.988896,1,2.0,4.0
2025-05-28 04:40:00,17,16,16.072866,1,2.0,4.0
2025-05-28 05:00:00,20,20,20.576443,0,2.0,5.0
2025-05-28 05:20:00,31,27,27.254036,4,2.0,5.0
2025-05-28 05:40:00,26,32,32.594566,-6,2.0,5.0
2025-05-28 06:00:00,15,15,15.083809,0,2.0,6.0
2025-05-28 06:20:00,8,9,8.984304,-1,2.0,6.0
2025-05-28 06:40:00,7,8,8.014219,-1,2.0,6.0
2025-05-28 07:00:00,11,7,7.9152203,4,2.0,7.0
2025-05-28 07:20:00,15,12,12.600257,3,2.0,7.0
2025-05-28 07:40:00,10,15,15.454064,-5,2.0,7.0
2025-05-28 08:00:00,7,6,6.7083044,1,2.0,8.0
2025-05-28 08:20:00,5,7,7.609271,-2,2.0,8.0
2025-05-28 08:40:00,4,6,6.6788535,-2,2.0,8.0
2025-05-28 09:00:00,11,8,8.577701,3,2.0,9.0
2025-05-28 09:20:00,15,12,12.488719,3,2.0,9.0
2025-05-28 09:40:00,17,14,14.092398,3,2.0,9.0
2025-05-28 10:00:00,17,14,13.970121,3,2.0,10.0
2025-05-28 10:20:00,13,14,14.576782,-1,2.0,10.0
2025-05-28 10:40:00,6,8,8.841009,-2,2.0,10.0
2025-05-28 11:00:00,40,30,30.37931,10,2.0,11.0
2025-05-28 11:20:00,42,49,49.091614,-7,2.0,11.0
2025-05-28 11:40:00,51,53,53.398357,-2,2.0,11.0
2025-05-28 12:00:00,58,59,58.9029,-1,2.0,12.0
2025-05-28 12:20:00,58,56,56.47763,2,2.0,12.0
2025-05-28 12:40:00,51,46,46.543526,5,2.0,12.0
2025-05-28 13:00:00,51,48,48.070244,3,2.0,13.0
2025-05-28 13:20:00,49,50,50.04235,-1,2.0,13.0
2025-05-28 13:40:00,41,43,43.767548,-2,2.0,13.0
2025-05-28 14:00:00,37,39,39.297867,-2,2.0,14.0
2025-05-28 14:20:00,38,35,35.282486,3,2.0,14.0
2025-05-28 14:40:00,26,30,30.589928,-4,2.0,14.0
2025-05-28 15:00:00,33,32,32.237873,1,2.0,15.0
2025-05-28 15:20:00,27,36,36.81895,-9,2.0,15.0
2025-05-28 15:40:00,31,31,31.638954,0,2.0,15.0
2025-05-28 16:00:00,29,34,34.28418,-5,2.0,16.0
